host_time_iso,elapsed_s,firmware,board_id,sequence,average,temperature_c,bx_mt,by_mt,bz_mt,status_hex,raw_line
2026-07-15T19:09:58.809,0.547,0.5.2-alpha1a,4,14991,10,31.0700,-0.0700,-0.3000,0.0900,0x91,"$ND280,VER=0.5.2-alpha1a,ID=4,SEQ=14991,AVG=10,CAL=DEFAULT,T=31.07,BX=-0.07,BY=-0.30,BZ=0.09,STATUS=0x91"
2026-07-15T19:10:00.094,1.832,0.5.2-alpha1a,4,14992,10,31.2500,-0.1100,-0.2200,0.1100,0xD1,"$ND280,VER=0.5.2-alpha1a,ID=4,SEQ=14992,AVG=10,CAL=DEFAULT,T=31.25,BX=-0.11,BY=-0.22,BZ=0.11,STATUS=0xD1"
2026-07-15T19:10:01.482,3.220,0.5.2-alpha1a,4,14993,10,31.1000,-0.1100,-0.1500,0.1200,0x11,"$ND280,VER=0.5.2-alpha1a,ID=4,SEQ=14993,AVG=10,CAL=DEFAULT,T=31.10,BX=-0.11,BY=-0.15,BZ=0.12,STATUS=0x11"
2026-07-15T19:10:02.938,4.676,0.5.2-alpha1a,4,14994,10,31.4200,-0.1200,-0.2800,0.1100,0x51,"$ND280,VER=0.5.2-alpha1a,ID=4,SEQ=14994,AVG=10,CAL=DEFAULT,T=31.42,BX=-0.12,BY=-0.28,BZ=0.11,STATUS=0x51"
2026-07-15T19:10:04.292,6.029,0.5.2-alpha1a,4,14995,10,31.4500,-0.1300,-0.2800,0.1300,0x91,"$ND280,VER=0.5.2-alpha1a,ID=4,SEQ=14995,AVG=10,CAL=DEFAULT,T=31.45,BX=-0.13,BY=-0.28,BZ=0.13,STATUS=0x91"
2026-07-15T19:10:05.719,7.457,0.5.2-alpha1a,4,14996,10,31.1800,-0.1100,-0.2100,0.1300,0xD1,"$ND280,VER=0.5.2-alpha1a,ID=4,SEQ=14996,AVG=10,CAL=DEFAULT,T=31.18,BX=-0.11,BY=-0.21,BZ=0.13,STATUS=0xD1"
2026-07-15T19:10:07.132,8.870,0.5.2-alpha1a,4,14997,10,31.0500,-0.1600,-0.2800,0.1100,0x11,"$ND280,VER=0.5.2-alpha1a,ID=4,SEQ=14997,AVG=10,CAL=DEFAULT,T=31.05,BX=-0.16,BY=-0.28,BZ=0.11,STATUS=0x11"
2026-07-15T19:10:08.402,10.140,0.5.2-alpha1a,4,14998,10,31.5800,-0.1100,-0.2200,0.0800,0x51,"$ND280,VER=0.5.2-alpha1a,ID=4,SEQ=14998,AVG=10,CAL=DEFAULT,T=31.58,BX=-0.11,BY=-0.22,BZ=0.08,STATUS=0x51"
2026-07-15T19:10:09.785,11.522,0.5.2-alpha1a,4,14999,10,31.1000,-0.0400,-0.3400,0.1200,0x91,"$ND280,VER=0.5.2-alpha1a,ID=4,SEQ=14999,AVG=10,CAL=DEFAULT,T=31.10,BX=-0.04,BY=-0.34,BZ=0.12,STATUS=0x91"
2026-07-15T19:10:11.204,12.942,0.5.2-alpha1a,4,15000,10,31.4500,-0.0800,-0.2500,0.1700,0xD1,"$ND280,VER=0.5.2-alpha1a,ID=4,SEQ=15000,AVG=10,CAL=DEFAULT,T=31.45,BX=-0.08,BY=-0.25,BZ=0.17,STATUS=0xD1"
2026-07-15T19:10:12.614,14.352,0.5.2-alpha1a,4,15001,10,31.3300,0.0000,-0.3300,0.0400,0x11,"$ND280,VER=0.5.2-alpha1a,ID=4,SEQ=15001,AVG=10,CAL=DEFAULT,T=31.33,BX=0.00,BY=-0.33,BZ=0.04,STATUS=0x11"
2026-07-15T19:10:14.057,15.795,0.5.2-alpha1a,4,15002,10,31.5500,-0.0700,-0.3000,0.1300,0x51,"$ND280,VER=0.5.2-alpha1a,ID=4,SEQ=15002,AVG=10,CAL=DEFAULT,T=31.55,BX=-0.07,BY=-0.30,BZ=0.13,STATUS=0x51"
